"Year","Neighborhood Tabulation Area NTA)","Neighborhood Tabulation Area (NTA) Name","Supply Gap (lbs.)","Food Insecure Percentage","Unemployment Rate","Vulnerable Population Score","Weighted Score","Rank"
"2025","MN0703","Upper West Side-Manhattan Valley","1,413,774.98920573","17.95%","7.49%","0.50","7.20725444368","26"
"2025","QN1205","St. Albans","-2,169,555.78538276","7.84%","4.43%","0.50","2.64210409404","190"
"2025","SI0102","Tompkinsville-Stapleton-Clifton-Fox Hills","-1,823,011.16477151","19.32%","5.10%","0.51","3.17661075829","186"
"2025","BK1001","Bay Ridge","2,207,304.26225789","15.93%","6.68%","0.52","7.69829540105","13"
"2025","BX0301","Morrisania","-2,098,856.93601668","29.98%","15.40%","0.51","3.43217077436","185"
"2025","BX0601","West Farms","954,192.677655184","34.94%","18.09%","0.55","7.90384229505","10"
"2025","BX1203","Wakefield-Woodlawn","707,055.00738691","16.59%","9.10%","0.54","6.55528445854","59"
"2025","MN1201","Washington Heights (South)","2,673,103.36007119","26.78%","14.18%","0.52","8.91946054013","1"
"2025","QN0902","Richmond Hill","-2,328,995.19901469","14.32%","6.03%","0.57","2.33964411502","193"
"2025","QN0904","Ozone Park (North)","-500,408.053228031","16.15%","6.95%","0.55","4.7872121749","172"
"2025","BK1301","Gravesend (South)","-852,284.5597621","19.39%","7.78%","0.61","4.34171541474","180"
"2025","BK1703","East Flatbush-Rugby","-985,286.68582102","14.25%","8.64%","0.54","4.51252755833","177"
"2025","BX0501","University Heights (South)-Morris Heights","1,967,725.99158661","28.18%","11.67%","0.58","8.0248369809","6"
"2025","BX0902","Soundview-Clason Point","600,555.36026617","24.24%","13.09%","0.52","6.74912936841","47"
"2025","QN0502","Ridgewood","1,531,860.2259482","16.81%","7.09%","0.51","7.05062426682","35"
"2025","QN1303","Queens Village","-1,364,241.41008293","12.02%","9.41%","0.54","4.06198747578","182"
"2025","SI0105","Westerleigh-Castleton Corners","637,569.289046739","10.31%","4.84%","0.47","6.06970911336","98"
"2025","BK1302","Coney Island-Sea Gate","1,846,332.33955989","25.94%","12.55%","0.62","8.01668725374","7"
"2025","QN0105","Queensbridge-Ravenswood-Dutch Kills","-3,272,725.07376078","21.01%","8.47%","0.51","1.78837351738","197"
"2025","QN1202","South Jamaica","-2,561,516.49399059","16.03%","13.48%","0.55","2.93347275092","187"
"2025","BX1101","Pelham Parkway-Van Nest","1,090,394.88704868","20.67%","10.14%","0.52","7.04081411301","36"
"2025","MN0401","Chelsea-Hudson Yards","723,779.41204991","15.79%","5.60%","0.38","5.87294023284","124"
"2025","MN1002","Harlem (North)","1,832,379.14443154","24.06%","12.38%","0.47","7.57499910728","15"
"2025","QN0303","North Corona","563,174.7457449","16.79%","4.37%","0.81","6.1044994324","94"
"2025","QN1204","Springfield Gardens (North)-Rochdale Village","-731,641.08231932","13.37%","8.38%","0.49","4.84827144364","169"
"2025","QN1402","Rockaway Beach-Arverne-Edgemere","349,017.48683823","21.03%","9.25%","0.54","6.0303443872","103"
"2025","BK0701","Windsor Terrace-South Slope","702,411.363228388","13.74%","6.86%","0.45","6.34954317722","71"
"2025","BK1601","Ocean Hill","-2,283,447.2240249","20.09%","8.32%","0.46","2.64299034109","189"
"2025","BX0403","Mount Eden-Claremont (West)","1,696,696.57636403","27.78%","13.71%","0.60","7.9513129831","9"
"2025","BX0901","Soundview-Bruckner-Bronx River","2,780,543.96088838","24.61%","9.38%","0.62","8.780491261","2"
